Step,Period,V(10/20V),I(10/5A)
212,0.2sec,1,0.000222
213,0.2sec,1,0.000220
214,0.2sec,1,0.000218
215,0.2sec,1,0.000216
216,0.2sec,1,0.000213
217,0.2sec,1,0.000212
218,0.2sec,1,0.000210
219,0.2sec,1,0.000207
220,0.2sec,1,0.000202
221,0.2sec,1,0.000201
222,0.2sec,1,0.000197
223,0.2sec,1,0.000194
224,0.2sec,1,0.000191
225,0.2sec,1,0.000189
226,0.2sec,1,0.000187
227,0.2sec,1,0.000185
228,0.2sec,1,0.000183
229,0.2sec,1,0.000182
230,0.2sec,1,0.000180
231,0.2sec,1,0.000178
232,0.2sec,1,0.000177
233,0.2sec,1,0.000175
234,0.2sec,1,0.000173
235,0.2sec,1,0.000172
236,0.2sec,1,0.000172
237,0.2sec,1,0.000171
238,0.2sec,1,0.000170
239,0.2sec,1,0.000170
240,0.2sec,1,0.000169
241,0.2sec,1,0.000169
242,0.2sec,1,0.000169
243,0.2sec,1,0.000169
244,0.2sec,1,0.000169
245,0.2sec,1,0.000169
246,0.2sec,1,0.000168
247,0.2sec,1,0.000168
248,0.2sec,1,0.000168
249,0.2sec,1,0.000168
250,0.2sec,1,0.000169
251,0.2sec,1,0.000169
252,0.2sec,1,0.000172
253,0.2sec,1,0.000174
254,0.2sec,1,0.000178
255,0.2sec,1,0.000180
256,0.2sec,1,0.000182
257,0.2sec,1,0.000184
258,0.2sec,1,0.000186
259,0.2sec,1,0.000189
260,0.2sec,1,0.000193
261,0.2sec,1,0.000197
262,0.2sec,1,0.000200
263,0.2sec,1,0.000202
264,0.2sec,1,0.000205
265,0.2sec,1,0.000207
266,0.2sec,1,0.000209
267,0.2sec,1,0.000210
268,0.2sec,1,0.000212
269,0.2sec,1,0.000213
270,0.2sec,1,0.000215
271,0.2sec,1,0.000217
272,0.2sec,1,0.000219
273,0.2sec,1,0.000221
274,0.2sec,1,0.000222
275,0.2sec,1,0.000223
276,0.2sec,1,0.000223
277,0.2sec,1,0.000224
278,0.2sec,1,0.000225
279,0.2sec,1,0.000226
280,0.2sec,1,0.000226
281,0.2sec,1,0.000226
282,0.2sec,1,0.000226
283,0.2sec,1,0.000226
284,0.2sec,1,0.000226
285,0.2sec,1,0.000227
286,0.2sec,1,0.000227
287,0.2sec,1,0.000227
288,0.2sec,1,0.000227
289,0.2sec,1,0.000227
290,0.2sec,1,0.000227
291,0.2sec,1,0.000227
292,0.2sec,1,0.000226
293,0.2sec,1,0.000225
294,0.2sec,1,0.000222
295,0.2sec,1,0.000220
296,0.2sec,1,0.000218
297,0.2sec,1,0.000215
298,0.2sec,1,0.000213
299,0.2sec,1,0.000211
300,0.2sec,1,0.000209
301,0.2sec,1,0.000206
302,0.2sec,1,0.000202
303,0.2sec,1,0.000201
304,0.2sec,1,0.000197
305,0.2sec,1,0.000193
306,0.2sec,1,0.000191
307,0.2sec,1,0.000189
308,0.2sec,1,0.000187
309,0.2sec,1,0.000185
310,0.2sec,1,0.000183
311,0.2sec,1,0.000182
312,0.2sec,1,0.000180
313,0.2sec,1,0.000178
314,0.2sec,1,0.000176
315,0.2sec,1,0.000174
316,0.2sec,1,0.000173
317,0.2sec,1,0.000172
318,0.2sec,1,0.000172
319,0.2sec,1,0.000171
320,0.2sec,1,0.000170
321,0.2sec,1,0.000169
322,0.2sec,1,0.000169
323,0.2sec,1,0.000169
324,0.2sec,1,0.000169
325,0.2sec,1,0.000169
326,0.2sec,1,0.000169
