Step,Period,V(10/20V),I(10/5A)
223,0.2sec,1,0.001
224,0.2sec,1,0.001
225,0.2sec,1,0.001
226,0.2sec,1,0.001
227,0.2sec,1,0.002
228,0.2sec,1,0.001
229,0.2sec,1,0.001
230,0.2sec,1,0.0
231,0.2sec,1,0.001
232,0.2sec,1,0.001
233,0.2sec,1,0.0
234,0.2sec,1,0.001
235,0.2sec,1,0.0
236,0.2sec,1,0.0
237,0.2sec,1,0.0
238,0.2sec,1,0.0
239,0.2sec,1,0.0
240,0.2sec,1,0.0
241,0.2sec,1,0.0
242,0.2sec,1,0.0
243,0.2sec,1,0.0
244,0.2sec,1,0.0
245,0.2sec,1,0.001
246,0.2sec,1,0.0
247,0.2sec,1,0.001
248,0.2sec,1,0.002
249,0.2sec,1,0.002
250,0.2sec,1,0.002
251,0.2sec,1,0.011
252,0.2sec,1,0.019
253,0.2sec,1,0.02
254,0.2sec,1,0.016
255,0.2sec,1,0.019
256,0.2sec,1,0.02
257,0.2sec,1,0.015
258,0.2sec,1,0.02
259,0.2sec,1,0.025
260,0.2sec,1,0.021
261,0.2sec,1,0.016
262,0.2sec,1,0.016
263,0.2sec,1,0.018000000000000002
264,0.2sec,1,0.02
265,0.2sec,1,0.015
266,0.2sec,1,0.023
267,0.2sec,1,0.025
268,0.2sec,1,0.017
269,0.2sec,1,0.015
270,0.2sec,1,0.022
271,0.2sec,1,0.025
272,0.2sec,1,0.022
273,0.2sec,1,0.025
274,0.2sec,1,0.014
275,0.2sec,1,0.013000000000000001
276,0.2sec,1,0.015
277,0.2sec,1,0.016
278,0.2sec,1,0.013000000000000001
279,0.2sec,1,0.015
280,0.2sec,1,0.016
281,0.2sec,1,0.013000000000000001
282,0.2sec,1,0.011
283,0.2sec,1,0.015
284,0.2sec,1,0.016
285,0.2sec,1,0.016
286,0.2sec,1,0.012
287,0.2sec,1,0.016
288,0.2sec,1,0.008
289,0.2sec,1,0.002
290,0.2sec,1,0.0
291,0.2sec,1,0.0
292,0.2sec,1,0.0
293,0.2sec,1,0.0
294,0.2sec,1,0.001
295,0.2sec,1,0.002
296,0.2sec,1,0.007
297,0.2sec,1,0.01
298,0.2sec,1,0.01
299,0.2sec,1,0.02
300,0.2sec,1,0.02
301,0.2sec,1,0.025
