Step,Period,V(10/20V),I(10/5A)
0,3.0sec,5.0,0.1
1,1.0sec,1.0,0.1
2,3.0sec,5.0,0.1
3,1.0sec,1.0,0.1
4,3.0sec,5.0,0.1
5,1.0sec,1.0,0.1
6,3.0sec,5.0,0.1
7,1.0sec,1.0,0.1
8,3.0sec,5.0,0.1
9,1.0sec,1.0,0.1
10,3.0sec,5.0,0.1
11,1.0sec,1.0,0.1
12,3.0sec,5.0,0.1
13,1.0sec,1.0,0.1
14,3.0sec,5.0,0.1
15,1.0sec,1.0,0.1
16,3.0sec,5.0,0.1
17,1.0sec,1.0,0.1
18,3.0sec,5.0,0.1
19,1.0sec,1.0,0.1
